TPR	FPR	Precision	F1	Range	Length
0.855024811504	0.000651254839813	0.996913395265	0.920533616896	117-130	28
0.850275469197	0.000672933225604	0.996793223155	0.917723124235	119-132	28
0.846475261012	0.000688288748873	0.99670561278	0.915468097273	121-134	28
0.842155507456	0.000724871024895	0.996513393565	0.912855209743	123-136	28
0.839234671117	0.00075106574106	0.99637532694	0.911078846485	125-138	28
0.83165261324	0.000789002916195	0.996158362543	0.906502604904	127-140	28
0.827856076753	0.000827391724367	0.995953804462	0.9041582872	129-142	28
0.577455402629	0.000653513004999	0.995420755654	0.730904451968	131-144	28
0.562689666188	0.000628673187947	0.995478948856	0.718979591837	133-146	28
0.559833084576	0.000663900564857	0.99520258473	0.716571772319	135-148	28
0.556187087737	0.000703192639104	0.994886968172	0.713496926014	137-150	28
0.899683683154	0.000245688372301	0.998891171771	0.946695450177	1-16	32
0.920177269615	0.000271431455428	0.998802378504	0.957879096256	3-18	32
0.921280615083	0.000338724777988	0.998507694328	0.958340852776	5-20	32
0.923632338119	0.000388856045131	0.998291564974	0.959511842064	7-22	32
0.931631133802	0.000411889330034	0.998206059271	0.963770255962	9-24	32
0.931388801686	0.000436277514049	0.998099547511	0.963590935293	11-26	32
0.932842794383	0.000439890578348	0.998086819878	0.964362544565	13-28	32
0.932556401882	0.000440342211385	0.998084272367	0.964208296477	15-30	32
0.931227246942	0.000433116082788	0.998112966224	0.963510720744	17-32	32
0.930201007147	0.000424083422042	0.998150212952	0.962978448837	19-34	32
0.929211484339	0.000429503018489	0.998124626552	0.962436038585	21-36	32
0.927502308581	0.000418663825594	0.998168505406	0.961538790942	23-38	32
0.926617429187	0.000421373623818	0.998154915874	0.961056765441	25-40	32
0.92539291766	0.000419115458631	0.998162361682	0.960401180143	27-42	32
0.919925758252	0.000411889330034	0.99818327417	0.957458090071	29-44	32
0.916009891556	0.000408727898773	0.998189500302	0.955335645611	31-46	32
0.912901798582	0.000408727898773	0.998183347418	0.953639742405	33-48	32
0.907932154351	0.00040240503625	0.998201627618	0.950929428787	35-50	32
0.904932376489	0.000400146871064	0.998205784018	0.949283400545	37-52	32
0.902029898643	0.000392017476392	0.99823652506	0.947697838882	39-54	32
0.898257228198	0.000388404412093	0.998245424332	0.945615516778	41-56	32
0.894247733185	0.000380275017422	0.99827439568	0.943402036698	43-58	32
0.893496870795	0.000385242980832	0.998250425087	0.942973337958	45-60	32
0.892231970582	0.000376661953123	0.998286907992	0.942284687256	47-62	32
0.889336836134	0.000380275017422	0.998264883467	0.940657898186	49-64	32
0.889577332401	0.000383436448683	0.998250955897	0.940786222897	51-66	32
0.888082951018	0.000387049512982	0.998231538458	0.939941261565	53-68	32
0.886377446958	0.000383436448683	0.998244652807	0.938990948801	55-70	32
0.884556284388	0.000379371751347	0.998259658893	0.937974694633	57-72	32
0.884684793843	0.000372597255787	0.998290931163	0.938060745981	59-74	32
0.885755094023	0.000373952154899	0.998286796123	0.938660249102	61-76	32
0.887346775422	0.000390210944243	0.998215642864	0.9395217292	63-78	32
0.890700872212	0.000402856669288	0.998164846944	0.941375864645	65-80	32
0.891672036526	0.000410986063959	0.998129919237	0.941902441247	67-82	32
0.892474302699	0.000413244229146	0.998121350492	0.942346032358	69-84	32
0.895226240896	0.000417760559519	0.998106684733	0.943871289927	71-86	32
0.897811116802	0.000434019348863	0.998038795522	0.945275593595	73-88	32
0.898125047044	0.000443955275684	0.997994687861	0.945429773747	75-90	32
0.895819220241	0.000448471606057	0.997969125804	0.944139218059	77-92	32
0.892980997123	0.000440342211385	0.997999540407	0.94257408475	79-94	32
0.890493421234	0.000436277514049	0.99801244383	0.941192221831	81-96	32
